response,Potency,Usage,problem
what is the use of Belladonna medicine,30C,Internal,"Bone health, growth, fatigue"
Belladonna,200C,Internal,"Anemia, infections, inflammation"
Aconite,12C,Internal,"Flu, fever, fatigue, headache"
Bryonia,6C,Internal,"Bruises, muscle soreness, swelling"
Aconite,1M,External/Internal,"Anemia, infections, inflammation"
Belladonna,30C,Internal,"Flu, fever, fatigue, headache"
Nux Vomica,1M,External/Internal,"Fever, inflammation, throbbing pain"
Arnica,12C,External/Internal,"Anxiety, restlessness, acute illness"
Aconite,30C,Internal,"Indigestion, nausea, hangovers"
Bryonia,200C,External/Internal,"Flu, fever, fatigue, headache"
Chamomilla,12C,External/Internal,"Anxiety, restlessness, acute illness"
Bryonia,1M,Internal,"Fever, inflammation, throbbing pain"
Calcarea Carbonica,200C,External/Internal,"Flu, fever, fatigue, headache"
Gelsemium,12C,External/Internal,"Anxiety, restlessness, acute illness"
Belladonna,6C,Internal,"Dry cough, arthritis, headaches"
Calcarea Carbonica,12C,External/Internal,"Indigestion, nausea, hangovers"
Nux Vomica,200C,External/Internal,"Teething pain, irritability"
Arnica,6C,External/Internal,"Teething pain, irritability"
Belladonna,12C,Internal,"Dry cough, arthritis, headaches"
Gelsemium,200C,Internal,"Dry cough, arthritis, headaches"
Ferrum Phosphoricum,1M,Internal,"Anemia, infections, inflammation"
Pulsatilla,6C,Internal,"Bone health, growth, fatigue"
Arnica,6C,External/Internal,"Anemia, infections, inflammation"
Belladonna,30C,External/Internal,"Bruises, muscle soreness, swelling"
Pulsatilla,12C,External/Internal,"Bone health, growth, fatigue"
Aconite,6C,Internal,"Flu, fever, fatigue, headache"
Chamomilla,1M,Internal,"Bruises, muscle soreness, swelling"
Bryonia,6C,External/Internal,"Anxiety, restlessness, acute illness"
Nux Vomica,200C,Internal,"Bone health, growth, fatigue"
Aconite,6C,External/Internal,"Indigestion, nausea, hangovers"
Ferrum Phosphoricum,30C,External/Internal,"Indigestion, nausea, hangovers"
Pulsatilla,12C,External/Internal,"Menstrual pain, mood swings"
Pulsatilla,200C,Internal,"Flu, fever, fatigue, headache"
Gelsemium,12C,Internal,"Menstrual pain, mood swings"
Aconite,200C,Internal,"Indigestion, nausea, hangovers"
Gelsemium,1M,External/Internal,"Dry cough, arthritis, headaches"
Belladonna,30C,Internal,"Anxiety, restlessness, acute illness"
Ferrum Phosphoricum,12C,Internal,"Bruises, muscle soreness, swelling"
Pulsatilla,200C,Internal,"Bone health, growth, fatigue"
Gelsemium,1M,Internal,"Teething pain, irritability"
Calcarea Carbonica,6C,External/Internal,"Menstrual pain, mood swings"
Bryonia,12C,External/Internal,"Menstrual pain, mood swings"
Gelsemium,30C,Internal,"Bone health, growth, fatigue"
Pulsatilla,30C,Internal,"Flu, fever, fatigue, headache"
Aconite,6C,External/Internal,"Menstrual pain, mood swings"
Chamomilla,30C,Internal,"Indigestion, nausea, hangovers"
Chamomilla,200C,Internal,"Bruises, muscle soreness, swelling"
Calcarea Carbonica,6C,Internal,"Teething pain, irritability"
Pulsatilla,1M,Internal,"Fever, inflammation, throbbing pain"
Chamomilla,1M,External/Internal,"Flu, fever, fatigue, headache"
Belladonna,12C,Internal,"Anxiety, restlessness, acute illness"
Aconite,30C,External/Internal,"Anxiety, restlessness, acute illness"
Bryonia,12C,Internal,"Dry cough, arthritis, headaches"
Ferrum Phosphoricum,30C,External/Internal,"Bone health, growth, fatigue"
Pulsatilla,30C,External/Internal,"Fever, inflammation, throbbing pain"
Aconite,30C,Internal,"Bruises, muscle soreness, swelling"
Chamomilla,1M,External/Internal,"Menstrual pain, mood swings"
Arnica,12C,External/Internal,"Anxiety, restlessness, acute illness"
Gelsemium,6C,Internal,"Dry cough, arthritis, headaches"
Aconite,12C,External/Internal,"Flu, fever, fatigue, headache"
Gelsemium,30C,Internal,"Bone health, growth, fatigue"
Chamomilla,200C,External/Internal,"Menstrual pain, mood swings"
Arnica,200C,Internal,"Dry cough, arthritis, headaches"
Pulsatilla,30C,External/Internal,"Menstrual pain, mood swings"
Gelsemium,1M,Internal,"Dry cough, arthritis, headaches"
Gelsemium,6C,Internal,"Flu, fever, fatigue, headache"
Bryonia,200C,Internal,"Bone health, growth, fatigue"
Bryonia,12C,Internal,"Indigestion, nausea, hangovers"
Chamomilla,6C,Internal,"Menstrual pain, mood swings"
Chamomilla,12C,Internal,"Menstrual pain, mood swings"
Calcarea Carbonica,1M,Internal,"Bone health, growth, fatigue"
Ferrum Phosphoricum,6C,Internal,"Teething pain, irritability"
Chamomilla,30C,External/Internal,"Flu, fever, fatigue, headache"
Gelsemium,200C,Internal,"Anxiety, restlessness, acute illness"
Bryonia,12C,External/Internal,"Indigestion, nausea, hangovers"
Bryonia,6C,Internal,"Flu, fever, fatigue, headache"
Pulsatilla,1M,External/Internal,"Flu, fever, fatigue, headache"
Nux Vomica,1M,Internal,"Bone health, growth, fatigue"
Nux Vomica,1M,Internal,"Anxiety, restlessness, acute illness"
Ferrum Phosphoricum,12C,External/Internal,"Menstrual pain, mood swings"
Aconite,6C,Internal,"Menstrual pain, mood swings"
Bryonia,30C,Internal,"Menstrual pain, mood swings"
Calcarea Carbonica,30C,Internal,"Teething pain, irritability"
Ferrum Phosphoricum,6C,Internal,"Menstrual pain, mood swings"
Calcarea Carbonica,12C,External/Internal,"Menstrual pain, mood swings"
Chamomilla,12C,Internal,"Indigestion, nausea, hangovers"
Bryonia,6C,External/Internal,"Anxiety, restlessness, acute illness"
Aconite,1M,Internal,"Bruises, muscle soreness, swelling"
Belladonna,1M,External/Internal,"Anxiety, restlessness, acute illness"
Pulsatilla,6C,External/Internal,"Teething pain, irritability"
Aconite,1M,External/Internal,"Flu, fever, fatigue, headache"
Nux Vomica,1M,External/Internal,"Teething pain, irritability"
Pulsatilla,12C,Internal,"Teething pain, irritability"
Bryonia,200C,Internal,"Anxiety, restlessness, acute illness"
Belladonna,1M,External/Internal,"Flu, fever, fatigue, headache"
Calcarea Carbonica,12C,External/Internal,"Bone health, growth, fatigue"
Bryonia,6C,Internal,"Indigestion, nausea, hangovers"
Calcarea Carbonica,30C,Internal,"Indigestion, nausea, hangovers"
Gelsemium,12C,External/Internal,"Indigestion, nausea, hangovers"
Pulsatilla,6C,Internal,"Dry cough, arthritis, headaches"
Bryonia,6C,External/Internal,"Menstrual pain, mood swings"
Belladonna,6C,External/Internal,"Teething pain, irritability"
Ferrum Phosphoricum,12C,Internal,"Bone health, growth, fatigue"
Nux Vomica,200C,Internal,"Bone health, growth, fatigue"
Aconite,1M,Internal,"Bone health, growth, fatigue"
Belladonna,12C,Internal,"Bone health, growth, fatigue"
Chamomilla,1M,External/Internal,"Dry cough, arthritis, headaches"
Nux Vomica,30C,External/Internal,"Anemia, infections, inflammation"
Aconite,6C,External/Internal,"Anemia, infections, inflammation"
Belladonna,6C,External/Internal,"Anxiety, restlessness, acute illness"
Calcarea Carbonica,12C,Internal,"Anemia, infections, inflammation"
Ferrum Phosphoricum,12C,External/Internal,"Menstrual pain, mood swings"
Calcarea Carbonica,1M,External/Internal,"Bone health, growth, fatigue"
Chamomilla,12C,External/Internal,"Fever, inflammation, throbbing pain"
Chamomilla,12C,External/Internal,"Bruises, muscle soreness, swelling"
Arnica,6C,Internal,"Menstrual pain, mood swings"
Arnica,12C,External/Internal,"Bone health, growth, fatigue"
Pulsatilla,6C,External/Internal,"Anxiety, restlessness, acute illness"
Belladonna,6C,External/Internal,"Anxiety, restlessness, acute illness"
Belladonna,1M,Internal,"Indigestion, nausea, hangovers"
Gelsemium,1M,External/Internal,"Flu, fever, fatigue, headache"
Ferrum Phosphoricum,6C,Internal,"Anemia, infections, inflammation"
Calcarea Carbonica,30C,Internal,"Bruises, muscle soreness, swelling"
Chamomilla,200C,Internal,"Fever, inflammation, throbbing pain"
Bryonia,6C,Internal,"Bone health, growth, fatigue"
Aconite,6C,External/Internal,"Bone health, growth, fatigue"
Arnica,1M,External/Internal,"Teething pain, irritability"
Ferrum Phosphoricum,30C,Internal,"Anxiety, restlessness, acute illness"
Arnica,200C,External/Internal,"Anemia, infections, inflammation"
Pulsatilla,12C,Internal,"Teething pain, irritability"
Aconite,6C,Internal,"Anemia, infections, inflammation"
Gelsemium,12C,Internal,"Bone health, growth, fatigue"
Bryonia,12C,External/Internal,"Bruises, muscle soreness, swelling"
Chamomilla,1M,External/Internal,"Anemia, infections, inflammation"
Calcarea Carbonica,30C,External/Internal,"Anxiety, restlessness, acute illness"
Ferrum Phosphoricum,12C,External/Internal,"Bone health, growth, fatigue"
Arnica,1M,Internal,"Fever, inflammation, throbbing pain"
Belladonna,30C,External/Internal,"Dry cough, arthritis, headaches"
Chamomilla,30C,Internal,"Fever, inflammation, throbbing pain"
Chamomilla,30C,Internal,"Flu, fever, fatigue, headache"
Belladonna,12C,External/Internal,"Fever, inflammation, throbbing pain"
Bryonia,12C,External/Internal,"Dry cough, arthritis, headaches"
Ferrum Phosphoricum,30C,External/Internal,"Anemia, infections, inflammation"
Ferrum Phosphoricum,1M,External/Internal,"Bruises, muscle soreness, swelling"
Belladonna,30C,Internal,"Teething pain, irritability"
Pulsatilla,6C,External/Internal,"Fever, inflammation, throbbing pain"
Gelsemium,30C,Internal,"Anemia, infections, inflammation"
Chamomilla,12C,External/Internal,"Indigestion, nausea, hangovers"
Gelsemium,6C,Internal,"Flu, fever, fatigue, headache"
Pulsatilla,1M,Internal,"Bruises, muscle soreness, swelling"
Ferrum Phosphoricum,6C,Internal,"Indigestion, nausea, hangovers"
Arnica,12C,Internal,"Bruises, muscle soreness, swelling"
Belladonna,1M,Internal,"Anxiety, restlessness, acute illness"
Ferrum Phosphoricum,30C,Internal,"Menstrual pain, mood swings"
Arnica,6C,External/Internal,"Indigestion, nausea, hangovers"
Chamomilla,12C,Internal,"Anxiety, restlessness, acute illness"
Bryonia,1M,Internal,"Teething pain, irritability"
Nux Vomica,1M,Internal,"Flu, fever, fatigue, headache"
Calcarea Carbonica,200C,External/Internal,"Fever, inflammation, throbbing pain"
Belladonna,1M,Internal,"Anemia, infections, inflammation"
Chamomilla,6C,External/Internal,"Anxiety, restlessness, acute illness"
Pulsatilla,6C,Internal,"Teething pain, irritability"
Ferrum Phosphoricum,1M,Internal,"Bone health, growth, fatigue"
Gelsemium,6C,External/Internal,"Fever, inflammation, throbbing pain"
Nux Vomica,200C,Internal,"Anemia, infections, inflammation"
Aconite,30C,External/Internal,"Anxiety, restlessness, acute illness"
Ferrum Phosphoricum,6C,External/Internal,"Menstrual pain, mood swings"
Bryonia,1M,External/Internal,"Indigestion, nausea, hangovers"
Bryonia,1M,Internal,"Flu, fever, fatigue, headache"
Belladonna,6C,External/Internal,"Menstrual pain, mood swings"
Calcarea Carbonica,30C,Internal,"Indigestion, nausea, hangovers"
Pulsatilla,6C,Internal,"Bruises, muscle soreness, swelling"
Calcarea Carbonica,200C,Internal,"Flu, fever, fatigue, headache"
Arnica,30C,Internal,"Menstrual pain, mood swings"
Nux Vomica,6C,External/Internal,"Dry cough, arthritis, headaches"
Ferrum Phosphoricum,12C,External/Internal,"Fever, inflammation, throbbing pain"
Pulsatilla,6C,Internal,"Menstrual pain, mood swings"
Belladonna,6C,Internal,"Anxiety, restlessness, acute illness"
Nux Vomica,1M,Internal,"Dry cough, arthritis, headaches"
Nux Vomica,1M,External/Internal,"Indigestion, nausea, hangovers"
Chamomilla,30C,Internal,"Dry cough, arthritis, headaches"
Arnica,200C,Internal,"Dry cough, arthritis, headaches"
Aconite,6C,External/Internal,"Bone health, growth, fatigue"
Ferrum Phosphoricum,6C,Internal,"Dry cough, arthritis, headaches"
Chamomilla,12C,Internal,"Anemia, infections, inflammation"
Nux Vomica,6C,Internal,"Indigestion, nausea, hangovers"
Chamomilla,1M,External/Internal,"Menstrual pain, mood swings"
Nux Vomica,6C,External/Internal,"Anxiety, restlessness, acute illness"
Pulsatilla,30C,Internal,"Dry cough, arthritis, headaches"
Arnica,12C,Internal,"Bruises, muscle soreness, swelling"
Aconite,6C,Internal,"Anemia, infections, inflammation"
Aconite,6C,External/Internal,"Bruises, muscle soreness, swelling"
Bryonia,12C,External/Internal,"Teething pain, irritability"
Bryonia,12C,Internal,"Teething pain, irritability"
Calcarea Carbonica,200C,Internal,"Bruises, muscle soreness, swelling"
Aconite,1M,External/Internal,"Menstrual pain, mood swings"
Belladonna,12C,Internal,"Flu, fever, fatigue, headache"
Gelsemium,1M,Internal,"Fever, inflammation, throbbing pain"
Arnica,200C,Internal,"Menstrual pain, mood swings"
Pulsatilla,12C,External/Internal,"Dry cough, arthritis, headaches"
Aconite,1M,External/Internal,"Flu, fever, fatigue, headache"
Pulsatilla,6C,Internal,"Anemia, infections, inflammation"
Nux Vomica,200C,Internal,"Flu, fever, fatigue, headache"
Gelsemium,12C,Internal,"Anemia, infections, inflammation"
Calcarea Carbonica,200C,Internal,"Anxiety, restlessness, acute illness"
Aconite,12C,Internal,"Dry cough, arthritis, headaches"
Arnica,1M,External/Internal,"Bone health, growth, fatigue"
Aconite,6C,Internal,"Dry cough, arthritis, headaches"
Bryonia,30C,Internal,"Dry cough, arthritis, headaches"
Pulsatilla,200C,External/Internal,"Bruises, muscle soreness, swelling"
Belladonna,6C,Internal,"Anemia, infections, inflammation"
Pulsatilla,6C,Internal,"Flu, fever, fatigue, headache"
Ferrum Phosphoricum,1M,Internal,"Dry cough, arthritis, headaches"
Pulsatilla,12C,External/Internal,"Dry cough, arthritis, headaches"
Bryonia,1M,Internal,"Fever, inflammation, throbbing pain"
Ferrum Phosphoricum,1M,External/Internal,"Teething pain, irritability"
Nux Vomica,6C,Internal,"Anxiety, restlessness, acute illness"
Bryonia,6C,External/Internal,"Fever, inflammation, throbbing pain"
Ferrum Phosphoricum,200C,External/Internal,"Menstrual pain, mood swings"
Pulsatilla,1M,Internal,"Menstrual pain, mood swings"
Ferrum Phosphoricum,6C,External/Internal,"Fever, inflammation, throbbing pain"
Bryonia,12C,Internal,"Indigestion, nausea, hangovers"
Chamomilla,12C,Internal,"Anemia, infections, inflammation"
Aconite,200C,Internal,"Dry cough, arthritis, headaches"
Gelsemium,1M,External/Internal,"Bruises, muscle soreness, swelling"
Ferrum Phosphoricum,30C,External/Internal,"Dry cough, arthritis, headaches"
Bryonia,30C,External/Internal,"Dry cough, arthritis, headaches"
Belladonna,12C,Internal,"Dry cough, arthritis, headaches"
Ferrum Phosphoricum,12C,External/Internal,"Bone health, growth, fatigue"
Ferrum Phosphoricum,200C,Internal,"Indigestion, nausea, hangovers"
Gelsemium,1M,Internal,"Anemia, infections, inflammation"
Aconite,6C,External/Internal,"Fever, inflammation, throbbing pain"
Pulsatilla,12C,External/Internal,"Anxiety, restlessness, acute illness"
Nux Vomica,200C,External/Internal,"Bruises, muscle soreness, swelling"
Bryonia,6C,Internal,"Bone health, growth, fatigue"
Nux Vomica,1M,Internal,"Flu, fever, fatigue, headache"
Nux Vomica,30C,External/Internal,"Anxiety, restlessness, acute illness"
Nux Vomica,30C,Internal,"Fever, inflammation, throbbing pain"
Chamomilla,6C,External/Internal,"Dry cough, arthritis, headaches"
Nux Vomica,1M,External/Internal,"Bone health, growth, fatigue"
Chamomilla,12C,External/Internal,"Menstrual pain, mood swings"
Chamomilla,6C,External/Internal,"Indigestion, nausea, hangovers"
Belladonna,12C,External/Internal,"Menstrual pain, mood swings"
Ferrum Phosphoricum,30C,External/Internal,"Flu, fever, fatigue, headache"
Arnica,12C,Internal,"Bruises, muscle soreness, swelling"
Belladonna,6C,External/Internal,"Flu, fever, fatigue, headache"
Gelsemium,1M,External/Internal,"Bruises, muscle soreness, swelling"
Nux Vomica,6C,External/Internal,"Menstrual pain, mood swings"
Ferrum Phosphoricum,1M,External/Internal,"Dry cough, arthritis, headaches"
Nux Vomica,1M,External/Internal,"Anxiety, restlessness, acute illness"
Calcarea Carbonica,30C,External/Internal,"Bruises, muscle soreness, swelling"
Aconite,1M,Internal,"Menstrual pain, mood swings"
Bryonia,200C,External/Internal,"Flu, fever, fatigue, headache"
Arnica,30C,External/Internal,"Menstrual pain, mood swings"
Ferrum Phosphoricum,1M,Internal,"Fever, inflammation, throbbing pain"
Belladonna,1M,External/Internal,"Dry cough, arthritis, headaches"
Chamomilla,200C,External/Internal,"Flu, fever, fatigue, headache"
Gelsemium,6C,External/Internal,"Teething pain, irritability"
Belladonna,1M,External/Internal,"Flu, fever, fatigue, headache"
Gelsemium,6C,External/Internal,"Flu, fever, fatigue, headache"
Ferrum Phosphoricum,1M,Internal,"Anxiety, restlessness, acute illness"
Belladonna,12C,External/Internal,"Bone health, growth, fatigue"
Chamomilla,1M,Internal,"Menstrual pain, mood swings"
Nux Vomica,200C,Internal,"Anxiety, restlessness, acute illness"
Ferrum Phosphoricum,6C,Internal,"Bruises, muscle soreness, swelling"
Calcarea Carbonica,1M,External/Internal,"Bruises, muscle soreness, swelling"
Pulsatilla,30C,Internal,"Fever, inflammation, throbbing pain"
Ferrum Phosphoricum,30C,Internal,"Indigestion, nausea, hangovers"
Gelsemium,12C,Internal,"Anxiety, restlessness, acute illness"
Aconite,6C,Internal,"Anxiety, restlessness, acute illness"
Arnica,1M,Internal,"Menstrual pain, mood swings"
Calcarea Carbonica,6C,Internal,"Anemia, infections, inflammation"
Ferrum Phosphoricum,12C,Internal,"Indigestion, nausea, hangovers"
Bryonia,12C,External/Internal,"Flu, fever, fatigue, headache"
Gelsemium,6C,External/Internal,"Flu, fever, fatigue, headache"
Pulsatilla,6C,Internal,"Bone health, growth, fatigue"
Ferrum Phosphoricum,200C,External/Internal,"Flu, fever, fatigue, headache"
Aconite,12C,External/Internal,"Fever, inflammation, throbbing pain"
Pulsatilla,30C,Internal,"Teething pain, irritability"
Chamomilla,6C,Internal,"Anxiety, restlessness, acute illness"
Pulsatilla,200C,Internal,"Anxiety, restlessness, acute illness"
Gelsemium,12C,External/Internal,"Bone health, growth, fatigue"
Bryonia,1M,External/Internal,"Bruises, muscle soreness, swelling"
Pulsatilla,30C,Internal,"Indigestion, nausea, hangovers"
Belladonna,1M,External/Internal,"Anemia, infections, inflammation"
Pulsatilla,30C,Internal,"Anemia, infections, inflammation"
Bryonia,12C,Internal,"Anemia, infections, inflammation"
Ferrum Phosphoricum,1M,External/Internal,"Bone health, growth, fatigue"
Belladonna,1M,Internal,"Bone health, growth, fatigue"
Aconite,30C,External/Internal,"Teething pain, irritability"
Nux Vomica,30C,Internal,"Bone health, growth, fatigue"
Ferrum Phosphoricum,6C,External/Internal,"Dry cough, arthritis, headaches"
Ferrum Phosphoricum,30C,External/Internal,"Indigestion, nausea, hangovers"
Calcarea Carbonica,1M,Internal,"Teething pain, irritability"
Nux Vomica,6C,Internal,"Menstrual pain, mood swings"
Pulsatilla,12C,Internal,"Bruises, muscle soreness, swelling"
Gelsemium,6C,External/Internal,"Dry cough, arthritis, headaches"
Arnica,200C,Internal,"Menstrual pain, mood swings"
Aconite,12C,Internal,"Bruises, muscle soreness, swelling"
Belladonna,12C,Internal,"Teething pain, irritability"
Nux Vomica,1M,Internal,"Fever, inflammation, throbbing pain"
Ferrum Phosphoricum,200C,External/Internal,"Flu, fever, fatigue, headache"
Gelsemium,200C,External/Internal,"Menstrual pain, mood swings"
Ferrum Phosphoricum,30C,Internal,"Teething pain, irritability"
Arnica,6C,Internal,"Dry cough, arthritis, headaches"
Ferrum Phosphoricum,30C,External/Internal,"Flu, fever, fatigue, headache"
Chamomilla,200C,External/Internal,"Bruises, muscle soreness, swelling"
Arnica,200C,Internal,"Dry cough, arthritis, headaches"
Belladonna,200C,Internal,"Fever, inflammation, throbbing pain"
Belladonna,30C,Internal,"Fever, inflammation, throbbing pain"
Belladonna,6C,Internal,"Teething pain, irritability"
Chamomilla,6C,External/Internal,"Dry cough, arthritis, headaches"
Pulsatilla,1M,External/Internal,"Bone health, growth, fatigue"
Belladonna,12C,External/Internal,"Menstrual pain, mood swings"
Chamomilla,30C,External/Internal,"Teething pain, irritability"
Chamomilla,1M,Internal,"Dry cough, arthritis, headaches"
Chamomilla,12C,External/Internal,"Anxiety, restlessness, acute illness"
Chamomilla,6C,External/Internal,"Flu, fever, fatigue, headache"
Gelsemium,200C,External/Internal,"Anxiety, restlessness, acute illness"
Belladonna,30C,External/Internal,"Flu, fever, fatigue, headache"
Pulsatilla,1M,External/Internal,"Anxiety, restlessness, acute illness"
Ferrum Phosphoricum,12C,Internal,"Flu, fever, fatigue, headache"
Belladonna,12C,External/Internal,"Flu, fever, fatigue, headache"
Bryonia,30C,External/Internal,"Fever, inflammation, throbbing pain"
Nux Vomica,30C,External/Internal,"Teething pain, irritability"
Ferrum Phosphoricum,1M,Internal,"Dry cough, arthritis, headaches"
Bryonia,6C,Internal,"Anxiety, restlessness, acute illness"
Bryonia,200C,Internal,"Flu, fever, fatigue, headache"
Nux Vomica,6C,Internal,"Bone health, growth, fatigue"
Bryonia,200C,External/Internal,"Anxiety, restlessness, acute illness"
Belladonna,12C,Internal,"Fever, inflammation, throbbing pain"
Nux Vomica,12C,Internal,"Teething pain, irritability"
Belladonna,1M,Internal,"Teething pain, irritability"
Bryonia,30C,External/Internal,"Bruises, muscle soreness, swelling"
