response,Potency,Usage,problem
Arnica,1M,Internal,"Flu, fever, fatigue, headache"
Nux Vomica,1M,Internal,"Indigestion, nausea, hangovers"
Ferrum Phosphoricum,12C,External/Internal,"Anxiety, restlessness, acute illness"
Calcarea Carbonica,200C,External/Internal,"Bruises, muscle soreness, swelling"
Nux Vomica,12C,External/Internal,"Bruises, muscle soreness, swelling"
Arnica,200C,Internal,"Bone health, growth, fatigue"
Nux Vomica,6C,External/Internal,"Flu, fever, fatigue, headache"
Pulsatilla,6C,External/Internal,"Dry cough, arthritis, headaches"
Nux Vomica,1M,External/Internal,"Anxiety, restlessness, acute illness"
Bryonia,200C,Internal,"Bruises, muscle soreness, swelling"
Gelsemium,6C,External/Internal,"Bruises, muscle soreness, swelling"
Bryonia,30C,Internal,"Anemia, infections, inflammation"
Chamomilla,30C,Internal,"Anxiety, restlessness, acute illness"
Aconite,30C,External/Internal,"Flu, fever, fatigue, headache"
Chamomilla,200C,External/Internal,"Menstrual pain, mood swings"
Ferrum Phosphoricum,1M,Internal,"Bruises, muscle soreness, swelling"
Ferrum Phosphoricum,30C,Internal,"Anxiety, restlessness, acute illness"
Chamomilla,30C,External/Internal,"Flu, fever, fatigue, headache"
Chamomilla,30C,Internal,"Anxiety, restlessness, acute illness"
Arnica,30C,External/Internal,"Bone health, growth, fatigue"
Arnica,12C,Internal,"Dry cough, arthritis, headaches"
Chamomilla,200C,External/Internal,"Anemia, infections, inflammation"
Pulsatilla,6C,Internal,"Anxiety, restlessness, acute illness"
Aconite,200C,Internal,"Anxiety, restlessness, acute illness"
Ferrum Phosphoricum,1M,External/Internal,"Menstrual pain, mood swings"
Belladonna,6C,Internal,"Bruises, muscle soreness, swelling"
Nux Vomica,12C,Internal,"Anxiety, restlessness, acute illness"
Calcarea Carbonica,1M,External/Internal,"Teething pain, irritability"
Nux Vomica,200C,External/Internal,"Bruises, muscle soreness, swelling"
Bryonia,12C,External/Internal,"Flu, fever, fatigue, headache"
Arnica,200C,Internal,"Dry cough, arthritis, headaches"
Gelsemium,200C,Internal,"Flu, fever, fatigue, headache"
Ferrum Phosphoricum,1M,Internal,"Anemia, infections, inflammation"
Gelsemium,6C,Internal,"Menstrual pain, mood swings"
Chamomilla,1M,Internal,"Menstrual pain, mood swings"
Pulsatilla,30C,Internal,"Dry cough, arthritis, headaches"
Aconite,6C,Internal,"Indigestion, nausea, hangovers"
Nux Vomica,30C,Internal,"Menstrual pain, mood swings"
Chamomilla,12C,Internal,"Fever, inflammation, throbbing pain"
Pulsatilla,30C,External/Internal,"Anemia, infections, inflammation"
Calcarea Carbonica,1M,Internal,"Dry cough, arthritis, headaches"
Gelsemium,12C,External/Internal,"Teething pain, irritability"
Nux Vomica,12C,External/Internal,"Teething pain, irritability"
Belladonna,200C,Internal,"Bone health, growth, fatigue"
Nux Vomica,1M,Internal,"Menstrual pain, mood swings"
Pulsatilla,6C,External/Internal,"Anemia, infections, inflammation"
Calcarea Carbonica,1M,Internal,"Bruises, muscle soreness, swelling"
Chamomilla,200C,External/Internal,"Anemia, infections, inflammation"
Chamomilla,6C,External/Internal,"Flu, fever, fatigue, headache"
Chamomilla,1M,Internal,"Indigestion, nausea, hangovers"
Pulsatilla,1M,Internal,"Teething pain, irritability"
Gelsemium,1M,Internal,"Flu, fever, fatigue, headache"
Pulsatilla,1M,Internal,"Teething pain, irritability"
Nux Vomica,6C,Internal,"Anxiety, restlessness, acute illness"
Bryonia,1M,External/Internal,"Anxiety, restlessness, acute illness"
Calcarea Carbonica,6C,Internal,"Anxiety, restlessness, acute illness"
Aconite,12C,External/Internal,"Indigestion, nausea, hangovers"
Calcarea Carbonica,30C,Internal,"Anemia, infections, inflammation"
Ferrum Phosphoricum,200C,External/Internal,"Teething pain, irritability"
Ferrum Phosphoricum,6C,Internal,"Anxiety, restlessness, acute illness"
Gelsemium,6C,External/Internal,"Bone health, growth, fatigue"
Calcarea Carbonica,6C,External/Internal,"Indigestion, nausea, hangovers"
Arnica,12C,Internal,"Flu, fever, fatigue, headache"
Calcarea Carbonica,12C,External/Internal,"Flu, fever, fatigue, headache"
Bryonia,1M,Internal,"Indigestion, nausea, hangovers"
Chamomilla,6C,External/Internal,"Fever, inflammation, throbbing pain"
Pulsatilla,1M,Internal,"Bruises, muscle soreness, swelling"
Bryonia,1M,Internal,"Flu, fever, fatigue, headache"
Belladonna,30C,Internal,"Fever, inflammation, throbbing pain"
Belladonna,200C,External/Internal,"Fever, inflammation, throbbing pain"
Bryonia,30C,Internal,"Teething pain, irritability"
Pulsatilla,30C,Internal,"Dry cough, arthritis, headaches"
Pulsatilla,1M,Internal,"Teething pain, irritability"
Arnica,6C,External/Internal,"Anemia, infections, inflammation"
Ferrum Phosphoricum,200C,Internal,"Bone health, growth, fatigue"
Aconite,200C,Internal,"Menstrual pain, mood swings"
Calcarea Carbonica,1M,Internal,"Indigestion, nausea, hangovers"
Ferrum Phosphoricum,6C,External/Internal,"Flu, fever, fatigue, headache"
Ferrum Phosphoricum,1M,External/Internal,"Dry cough, arthritis, headaches"
Gelsemium,30C,Internal,"Menstrual pain, mood swings"
Belladonna,30C,External/Internal,"Fever, inflammation, throbbing pain"
Pulsatilla,12C,Internal,"Menstrual pain, mood swings"
Nux Vomica,30C,External/Internal,"Anxiety, restlessness, acute illness"
Nux Vomica,30C,External/Internal,"Anemia, infections, inflammation"
Pulsatilla,30C,External/Internal,"Teething pain, irritability"
Pulsatilla,200C,Internal,"Anxiety, restlessness, acute illness"
Gelsemium,12C,Internal,"Bruises, muscle soreness, swelling"
Pulsatilla,12C,Internal,"Bruises, muscle soreness, swelling"
Nux Vomica,6C,External/Internal,"Anemia, infections, inflammation"
Arnica,200C,External/Internal,"Fever, inflammation, throbbing pain"
Nux Vomica,30C,Internal,"Fever, inflammation, throbbing pain"
Nux Vomica,6C,External/Internal,"Anemia, infections, inflammation"
Ferrum Phosphoricum,200C,External/Internal,"Fever, inflammation, throbbing pain"
Ferrum Phosphoricum,1M,Internal,"Teething pain, irritability"
Bryonia,200C,Internal,"Indigestion, nausea, hangovers"
Gelsemium,200C,External/Internal,"Bruises, muscle soreness, swelling"
Nux Vomica,200C,External/Internal,"Flu, fever, fatigue, headache"
Pulsatilla,12C,Internal,"Anxiety, restlessness, acute illness"
Gelsemium,12C,External/Internal,"Bone health, growth, fatigue"
Arnica,12C,External/Internal,"Menstrual pain, mood swings"
Ferrum Phosphoricum,6C,Internal,"Anemia, infections, inflammation"
Belladonna,1M,External/Internal,"Anxiety, restlessness, acute illness"
Chamomilla,30C,External/Internal,"Anxiety, restlessness, acute illness"
Nux Vomica,6C,Internal,"Flu, fever, fatigue, headache"
Arnica,1M,External/Internal,"Bone health, growth, fatigue"
Ferrum Phosphoricum,1M,External/Internal,"Fever, inflammation, throbbing pain"
Arnica,12C,External/Internal,"Indigestion, nausea, hangovers"
Chamomilla,1M,Internal,"Teething pain, irritability"
Calcarea Carbonica,200C,Internal,"Teething pain, irritability"
Aconite,12C,External/Internal,"Dry cough, arthritis, headaches"
Bryonia,12C,Internal,"Bone health, growth, fatigue"
Pulsatilla,30C,External/Internal,"Menstrual pain, mood swings"
Pulsatilla,1M,External/Internal,"Fever, inflammation, throbbing pain"
Nux Vomica,30C,Internal,"Teething pain, irritability"
Arnica,30C,External/Internal,"Bone health, growth, fatigue"
Ferrum Phosphoricum,6C,External/Internal,"Dry cough, arthritis, headaches"
Chamomilla,200C,Internal,"Anxiety, restlessness, acute illness"
Gelsemium,12C,External/Internal,"Anemia, infections, inflammation"
Calcarea Carbonica,30C,Internal,"Menstrual pain, mood swings"
Nux Vomica,12C,Internal,"Fever, inflammation, throbbing pain"
Calcarea Carbonica,200C,External/Internal,"Fever, inflammation, throbbing pain"
Nux Vomica,1M,Internal,"Dry cough, arthritis, headaches"
Chamomilla,12C,External/Internal,"Indigestion, nausea, hangovers"
Belladonna,12C,Internal,"Menstrual pain, mood swings"
Gelsemium,200C,External/Internal,"Flu, fever, fatigue, headache"
Chamomilla,1M,Internal,"Teething pain, irritability"
Gelsemium,30C,Internal,"Bone health, growth, fatigue"
Ferrum Phosphoricum,30C,External/Internal,"Indigestion, nausea, hangovers"
Arnica,200C,Internal,"Fever, inflammation, throbbing pain"
Gelsemium,6C,Internal,"Anxiety, restlessness, acute illness"
Ferrum Phosphoricum,12C,External/Internal,"Indigestion, nausea, hangovers"
Gelsemium,1M,External/Internal,"Teething pain, irritability"
Arnica,6C,Internal,"Anxiety, restlessness, acute illness"
Ferrum Phosphoricum,6C,Internal,"Dry cough, arthritis, headaches"
Ferrum Phosphoricum,200C,External/Internal,"Fever, inflammation, throbbing pain"
Belladonna,200C,Internal,"Anemia, infections, inflammation"
Nux Vomica,1M,Internal,"Indigestion, nausea, hangovers"
Chamomilla,12C,Internal,"Indigestion, nausea, hangovers"
Pulsatilla,30C,Internal,"Bone health, growth, fatigue"
Nux Vomica,12C,External/Internal,"Bruises, muscle soreness, swelling"
Nux Vomica,1M,Internal,"Anxiety, restlessness, acute illness"
Belladonna,6C,External/Internal,"Menstrual pain, mood swings"
Belladonna,12C,Internal,"Bruises, muscle soreness, swelling"
Aconite,30C,Internal,"Menstrual pain, mood swings"
Calcarea Carbonica,12C,Internal,"Anemia, infections, inflammation"
Aconite,6C,External/Internal,"Teething pain, irritability"
Arnica,30C,Internal,"Bone health, growth, fatigue"
Ferrum Phosphoricum,12C,External/Internal,"Menstrual pain, mood swings"
Aconite,30C,Internal,"Bruises, muscle soreness, swelling"
Nux Vomica,30C,Internal,"Anemia, infections, inflammation"
Pulsatilla,1M,External/Internal,"Teething pain, irritability"
Ferrum Phosphoricum,12C,External/Internal,"Menstrual pain, mood swings"
Belladonna,30C,External/Internal,"Menstrual pain, mood swings"
Chamomilla,30C,Internal,"Anxiety, restlessness, acute illness"
Gelsemium,6C,External/Internal,"Dry cough, arthritis, headaches"
Ferrum Phosphoricum,200C,External/Internal,"Dry cough, arthritis, headaches"
Bryonia,30C,Internal,"Menstrual pain, mood swings"
Arnica,30C,Internal,"Anxiety, restlessness, acute illness"
Gelsemium,12C,External/Internal,"Dry cough, arthritis, headaches"
Chamomilla,1M,Internal,"Anxiety, restlessness, acute illness"
Ferrum Phosphoricum,30C,External/Internal,"Anxiety, restlessness, acute illness"
Aconite,6C,External/Internal,"Flu, fever, fatigue, headache"
Nux Vomica,1M,Internal,"Menstrual pain, mood swings"
Calcarea Carbonica,12C,External/Internal,"Menstrual pain, mood swings"
Chamomilla,12C,External/Internal,"Menstrual pain, mood swings"
Ferrum Phosphoricum,1M,Internal,"Bruises, muscle soreness, swelling"
Gelsemium,200C,Internal,"Bruises, muscle soreness, swelling"
Ferrum Phosphoricum,6C,External/Internal,"Anxiety, restlessness, acute illness"
Pulsatilla,30C,Internal,"Indigestion, nausea, hangovers"
Belladonna,1M,Internal,"Fever, inflammation, throbbing pain"
Nux Vomica,30C,External/Internal,"Menstrual pain, mood swings"
Calcarea Carbonica,12C,External/Internal,"Teething pain, irritability"
Ferrum Phosphoricum,12C,External/Internal,"Anxiety, restlessness, acute illness"
Chamomilla,12C,External/Internal,"Flu, fever, fatigue, headache"
Nux Vomica,30C,External/Internal,"Menstrual pain, mood swings"
Calcarea Carbonica,12C,External/Internal,"Menstrual pain, mood swings"
Calcarea Carbonica,200C,Internal,"Dry cough, arthritis, headaches"
Pulsatilla,6C,External/Internal,"Anxiety, restlessness, acute illness"
Gelsemium,12C,External/Internal,"Dry cough, arthritis, headaches"
Bryonia,6C,External/Internal,"Anemia, infections, inflammation"
Nux Vomica,30C,Internal,"Anxiety, restlessness, acute illness"
Pulsatilla,1M,Internal,"Fever, inflammation, throbbing pain"
Ferrum Phosphoricum,6C,External/Internal,"Anemia, infections, inflammation"
Pulsatilla,30C,Internal,"Teething pain, irritability"
Bryonia,30C,External/Internal,"Indigestion, nausea, hangovers"
Chamomilla,30C,External/Internal,"Bruises, muscle soreness, swelling"
Chamomilla,200C,External/Internal,"Menstrual pain, mood swings"
Ferrum Phosphoricum,12C,External/Internal,"Anxiety, restlessness, acute illness"
Belladonna,30C,Internal,"Bruises, muscle soreness, swelling"
Belladonna,30C,Internal,"Dry cough, arthritis, headaches"
Arnica,6C,External/Internal,"Bruises, muscle soreness, swelling"
Chamomilla,200C,External/Internal,"Bone health, growth, fatigue"
Gelsemium,200C,External/Internal,"Dry cough, arthritis, headaches"
Aconite,30C,Internal,"Indigestion, nausea, hangovers"
Ferrum Phosphoricum,200C,External/Internal,"Anemia, infections, inflammation"
Pulsatilla,1M,External/Internal,"Bone health, growth, fatigue"
Calcarea Carbonica,6C,External/Internal,"Bone health, growth, fatigue"
Pulsatilla,30C,External/Internal,"Bruises, muscle soreness, swelling"
Nux Vomica,1M,Internal,"Menstrual pain, mood swings"
Chamomilla,30C,External/Internal,"Menstrual pain, mood swings"
Bryonia,30C,External/Internal,"Bruises, muscle soreness, swelling"
Bryonia,200C,Internal,"Bruises, muscle soreness, swelling"
Chamomilla,6C,External/Internal,"Bone health, growth, fatigue"
Pulsatilla,1M,External/Internal,"Flu, fever, fatigue, headache"
Belladonna,12C,External/Internal,"Menstrual pain, mood swings"
Nux Vomica,30C,External/Internal,"Bone health, growth, fatigue"
Arnica,6C,External/Internal,"Bone health, growth, fatigue"
Chamomilla,30C,Internal,"Anemia, infections, inflammation"
Calcarea Carbonica,1M,External/Internal,"Teething pain, irritability"
Gelsemium,30C,Internal,"Bruises, muscle soreness, swelling"
Nux Vomica,30C,Internal,"Teething pain, irritability"
Gelsemium,200C,External/Internal,"Bruises, muscle soreness, swelling"
Arnica,30C,External/Internal,"Fever, inflammation, throbbing pain"
Pulsatilla,30C,Internal,"Anxiety, restlessness, acute illness"
Aconite,200C,External/Internal,"Anemia, infections, inflammation"
Ferrum Phosphoricum,6C,External/Internal,"Dry cough, arthritis, headaches"
Chamomilla,200C,Internal,"Dry cough, arthritis, headaches"
Chamomilla,200C,Internal,"Flu, fever, fatigue, headache"
Aconite,6C,Internal,"Dry cough, arthritis, headaches"
Arnica,1M,Internal,"Bruises, muscle soreness, swelling"
Bryonia,12C,External/Internal,"Anxiety, restlessness, acute illness"
Arnica,200C,Internal,"Flu, fever, fatigue, headache"
Belladonna,12C,Internal,"Bone health, growth, fatigue"
Ferrum Phosphoricum,30C,External/Internal,"Bruises, muscle soreness, swelling"
Bryonia,30C,External/Internal,"Anemia, infections, inflammation"
Bryonia,6C,Internal,"Anxiety, restlessness, acute illness"
Pulsatilla,200C,Internal,"Indigestion, nausea, hangovers"
Bryonia,6C,Internal,"Menstrual pain, mood swings"
Belladonna,12C,Internal,"Anxiety, restlessness, acute illness"
Belladonna,1M,Internal,"Bone health, growth, fatigue"
Arnica,30C,External/Internal,"Fever, inflammation, throbbing pain"
Chamomilla,12C,External/Internal,"Menstrual pain, mood swings"
Chamomilla,30C,Internal,"Bruises, muscle soreness, swelling"
Gelsemium,1M,External/Internal,"Indigestion, nausea, hangovers"
Nux Vomica,200C,Internal,"Teething pain, irritability"
Belladonna,200C,External/Internal,"Menstrual pain, mood swings"
Aconite,12C,External/Internal,"Fever, inflammation, throbbing pain"
Belladonna,12C,Internal,"Indigestion, nausea, hangovers"
Bryonia,30C,External/Internal,"Fever, inflammation, throbbing pain"
Chamomilla,12C,External/Internal,"Anxiety, restlessness, acute illness"
Belladonna,200C,Internal,"Indigestion, nausea, hangovers"
Bryonia,30C,Internal,"Teething pain, irritability"
Belladonna,200C,External/Internal,"Fever, inflammation, throbbing pain"
Nux Vomica,12C,Internal,"Bone health, growth, fatigue"
Gelsemium,12C,Internal,"Bone health, growth, fatigue"
Bryonia,30C,External/Internal,"Indigestion, nausea, hangovers"
Chamomilla,30C,External/Internal,"Teething pain, irritability"
Bryonia,1M,Internal,"Dry cough, arthritis, headaches"
Aconite,12C,Internal,"Menstrual pain, mood swings"
Ferrum Phosphoricum,6C,Internal,"Indigestion, nausea, hangovers"
Ferrum Phosphoricum,6C,External/Internal,"Anxiety, restlessness, acute illness"
Pulsatilla,6C,External/Internal,"Dry cough, arthritis, headaches"
Pulsatilla,1M,Internal,"Anemia, infections, inflammation"
Belladonna,1M,External/Internal,"Flu, fever, fatigue, headache"
Bryonia,1M,Internal,"Anxiety, restlessness, acute illness"
Aconite,12C,Internal,"Fever, inflammation, throbbing pain"
Nux Vomica,200C,External/Internal,"Dry cough, arthritis, headaches"
Arnica,12C,Internal,"Teething pain, irritability"
Gelsemium,200C,External/Internal,"Bone health, growth, fatigue"
Bryonia,1M,External/Internal,"Bone health, growth, fatigue"
Bryonia,6C,External/Internal,"Menstrual pain, mood swings"
Arnica,1M,Internal,"Dry cough, arthritis, headaches"
Nux Vomica,1M,External/Internal,"Fever, inflammation, throbbing pain"
Pulsatilla,1M,Internal,"Bone health, growth, fatigue"
Arnica,1M,External/Internal,"Anemia, infections, inflammation"
Calcarea Carbonica,200C,Internal,"Indigestion, nausea, hangovers"
Chamomilla,200C,External/Internal,"Anxiety, restlessness, acute illness"
Gelsemium,30C,Internal,"Anemia, infections, inflammation"
Ferrum Phosphoricum,30C,External/Internal,"Bone health, growth, fatigue"
Bryonia,200C,Internal,"Menstrual pain, mood swings"
Chamomilla,200C,Internal,"Anxiety, restlessness, acute illness"
Arnica,200C,External/Internal,"Teething pain, irritability"
Nux Vomica,200C,Internal,"Menstrual pain, mood swings"
Chamomilla,6C,External/Internal,"Indigestion, nausea, hangovers"
Nux Vomica,6C,Internal,"Dry cough, arthritis, headaches"
Bryonia,200C,External/Internal,"Indigestion, nausea, hangovers"
Pulsatilla,6C,Internal,"Anemia, infections, inflammation"
Pulsatilla,12C,Internal,"Flu, fever, fatigue, headache"
Belladonna,30C,External/Internal,"Dry cough, arthritis, headaches"
Arnica,200C,Internal,"Bone health, growth, fatigue"
Chamomilla,30C,External/Internal,"Anemia, infections, inflammation"
Ferrum Phosphoricum,6C,External/Internal,"Menstrual pain, mood swings"
Bryonia,200C,Internal,"Anemia, infections, inflammation"
Arnica,30C,External/Internal,"Menstrual pain, mood swings"
Arnica,200C,External/Internal,"Teething pain, irritability"
Arnica,30C,Internal,"Menstrual pain, mood swings"
Aconite,6C,External/Internal,"Flu, fever, fatigue, headache"
Arnica,6C,External/Internal,"Menstrual pain, mood swings"
Aconite,200C,Internal,"Bone health, growth, fatigue"
Aconite,12C,Internal,"Flu, fever, fatigue, headache"
Aconite,6C,Internal,"Anxiety, restlessness, acute illness"
Aconite,1M,External/Internal,"Fever, inflammation, throbbing pain"
Calcarea Carbonica,200C,External/Internal,"Flu, fever, fatigue, headache"
Bryonia,30C,External/Internal,"Teething pain, irritability"
Ferrum Phosphoricum,12C,Internal,"Indigestion, nausea, hangovers"
Bryonia,1M,External/Internal,"Anxiety, restlessness, acute illness"
Gelsemium,6C,Internal,"Bone health, growth, fatigue"
Calcarea Carbonica,6C,External/Internal,"Bruises, muscle soreness, swelling"
Pulsatilla,12C,Internal,"Fever, inflammation, throbbing pain"
Calcarea Carbonica,1M,External/Internal,"Bruises, muscle soreness, swelling"
Belladonna,12C,Internal,"Bone health, growth, fatigue"
Arnica,30C,External/Internal,"Anxiety, restlessness, acute illness"
Belladonna,6C,External/Internal,"Dry cough, arthritis, headaches"
Aconite,200C,Internal,"Anxiety, restlessness, acute illness"
Nux Vomica,12C,Internal,"Fever, inflammation, throbbing pain"
Arnica,6C,Internal,"Fever, inflammation, throbbing pain"
Gelsemium,12C,Internal,"Bruises, muscle soreness, swelling"
Chamomilla,12C,External/Internal,"Menstrual pain, mood swings"
Nux Vomica,200C,Internal,"Anxiety, restlessness, acute illness"
Arnica,6C,Internal,"Menstrual pain, mood swings"
Gelsemium,6C,Internal,"Dry cough, arthritis, headaches"
Chamomilla,1M,External/Internal,"Bruises, muscle soreness, swelling"
Chamomilla,6C,Internal,"Teething pain, irritability"
Gelsemium,12C,External/Internal,"Bruises, muscle soreness, swelling"
Bryonia,1M,Internal,"Menstrual pain, mood swings"
Belladonna,1M,Internal,"Fever, inflammation, throbbing pain"
Calcarea Carbonica,12C,Internal,"Indigestion, nausea, hangovers"
Gelsemium,6C,Internal,"Bruises, muscle soreness, swelling"
Gelsemium,200C,Internal,"Menstrual pain, mood swings"
Belladonna,30C,Internal,"Flu, fever, fatigue, headache"
Calcarea Carbonica,6C,External/Internal,"Flu, fever, fatigue, headache"
Belladonna,200C,External/Internal,"Bruises, muscle soreness, swelling"
Nux Vomica,200C,Internal,"Bruises, muscle soreness, swelling"
Arnica,6C,External/Internal,"Anemia, infections, inflammation"
Nux Vomica,200C,Internal,"Teething pain, irritability"
Nux Vomica,30C,External/Internal,"Indigestion, nausea, hangovers"
Ferrum Phosphoricum,6C,External/Internal,"Flu, fever, fatigue, headache"
Gelsemium,30C,External/Internal,"Bruises, muscle soreness, swelling"
Nux Vomica,6C,Internal,"Menstrual pain, mood swings"
Ferrum Phosphoricum,12C,External/Internal,"Dry cough, arthritis, headaches"
Pulsatilla,12C,External/Internal,"Teething pain, irritability"
Belladonna,30C,External/Internal,"Menstrual pain, mood swings"
